NPs ID,NP_Class,INPs_Core,Targeting Strategy,Shape,Size (nm),Size_Category,Zeta Potential (mv),Zeta_Category,Responsive release,Tumor Cell,Tumor Site,Tumor Size ( mm³),Administration Dosages (mg/kg),Organ or tissue,Time point (h),Biodistribution (%ID),Tumor_%ID,Liver_%ID,Selectivity_Index,Targeting_Efficiency,Shell Type,MW Shell,HAS_PEG,Spleen_%ID
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Heart,1.0,0.3496,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Heart,2.0,0.2046,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Heart,4.0,0.2217,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Heart,24.0,0.1449,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Liver,0.25,1.23,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Liver,1.0,1.82,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Liver,2.0,2.14,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Liver,4.0,1.82,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Liver,24.0,2.27,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Spleen,0.25,0.61,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Spleen,1.0,1.49,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Spleen,2.0,1.4,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Spleen,4.0,1.33,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Spleen,24.0,4.04,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Lungs,0.25,0.7,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Lungs,1.0,0.45,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Lungs,2.0,0.49,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Lungs,4.0,1.16,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Lungs,24.0,1.6,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Kidneys,0.25,0.3,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Kidneys,1.0,0.21,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Kidneys,2.0,0.16,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Kidneys,4.0,0.32,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Kidneys,24.0,0.16,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Blood,0.25,8.287,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Blood,1.0,5.426,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Blood,2.0,3.601,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Blood,4.0,1.135,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Blood,24.0,0.444,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Brain,0.25,0.0638121,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Brain,1.0,0.0134508,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Brain,2.0,0.0134508,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Brain,4.0,0.0638121,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Brain,24.0,0.0638121,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Tumor,24.0,1.72,1.72,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Tumor,48.0,1.18,1.18,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Tumor,72.0,0.97,0.97,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Blood,24.0,37.984,1.72,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Blood,48.0,10.887,1.18,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P5,Inorganic,Gold,Passive,Spherical,17.1,Optimal Range,-9.8,Near Neutral,No,KB cell ,Cervix,100.0,5.91,Blood,72.0,3.629,0.97,0.0,0.0,Very Poor,No Stealth Effect,Not Exist,No,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Tumor,24.0,0.95,0.95,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Tumor,48.0,0.53,0.53,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Tumor,72.0,0.28,0.28,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Blood,24.0,1.532,0.95,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Blood,48.0,1.048,0.53,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P6,Inorganic,Gold,Passive,Spherical,31.0,Optimal Range,-10.5,Negative,No,KB cell ,Cervix,100.0,5.91,Blood,72.0,0.806,0.28,0.0,0.0,Very Poor,PEG,2000,Yes,0.0
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Tumor,1.0,0.2,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Tumor,6.0,1.37,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Tumor,24.0,2.79,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Heart,1.0,0.4734,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Heart,6.0,1.4424,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Heart,24.0,0.3141,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Liver,1.0,22.33,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Liver,6.0,36.16,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Liver,24.0,38.47,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Spleen,1.0,0.25,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Spleen,6.0,0.3,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Spleen,24.0,0.54,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Lungs,1.0,1.25,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Lungs,6.0,1.59,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Lungs,24.0,0.05,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Kidneys,1.0,1.02,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Kidneys,6.0,2.23,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Kidneys,24.0,0.13,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Blood,1.0,37.831,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Blood,6.0,21.266,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Blood,24.0,8.918,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Stomach,1.0,0.13317,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Stomach,6.0,0.54297,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Stomach,24.0,0.06124,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Intestine,1.0,1.39146,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Intestine,6.0,7.67747,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Intestine,24.0,1.58407,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Muscle,1.0,10.44016,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Muscle,6.0,8.38403,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Muscle,24.0,1.7604,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Bone,1.0,4.93874,0.2,22.33,0.0088573959255978,Very Poor,PEG,5000,Yes,0.25
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Bone,6.0,6.31482,1.37,36.16,0.0375754251234229,Poor,PEG,5000,Yes,0.3
INPs-P7,Inorganic,Gold,Passive,Spherical,69.8,Optimal Range,0.0,Near Neutral,No,EMT-6 cell,Breast,100.0,0.3,Bone,24.0,5.76759,2.79,38.47,0.0715201230453729,Moderate,PEG,5000,Yes,0.54
