Fact_ID,NP_Key,Tumor_Key,Time_Key,Targeting_Key,Organ_Key,Administration_Key,Efficiency_Key,Biodistribution (%ID),Tumor_%ID,Liver_%ID,Spleen_%ID,Selectivity_Index
111,7,6,16,2,9,4,2,8.38403,1.37,36.16,0.3,0.0375754251234229
112,7,6,23,2,9,4,3,1.7604,2.79,38.47,0.54,0.0715201230453729
113,7,6,9,2,2,4,1,4.93874,0.2,22.33,0.25,0.0088573959255978
114,7,6,16,2,2,4,2,6.31482,1.37,36.16,0.3,0.0375754251234229
115,7,6,23,2,2,4,3,5.76759,2.79,38.47,0.54,0.0715201230453729
116,8,6,9,2,17,5,1,0.12,0.12,44.86,9.29,0.0022160664819944
117,8,6,16,2,17,5,1,0.56,0.56,52.34,10.33,0.0089356949098452
118,8,6,23,2,17,5,2,0.87,0.87,64.85,10.22,0.0115891834287997
119,8,6,9,2,4,5,1,0.2638,0.12,44.86,9.29,0.0022160664819944
120,8,6,16,2,4,5,1,0.4073,0.56,52.34,10.33,0.0089356949098452
121,8,6,23,2,4,5,2,0.2183,0.87,64.85,10.22,0.0115891834287997
122,8,6,9,2,7,5,1,44.86,0.12,44.86,9.29,0.0022160664819944
123,8,6,16,2,7,5,1,52.34,0.56,52.34,10.33,0.0089356949098452
124,8,6,23,2,7,5,2,64.85,0.87,64.85,10.22,0.0115891834287997
125,8,6,9,2,15,5,1,9.29,0.12,44.86,9.29,0.0022160664819944
126,8,6,16,2,15,5,1,10.33,0.56,52.34,10.33,0.0089356949098452
127,8,6,23,2,15,5,2,10.22,0.87,64.85,10.22,0.0115891834287997
128,8,6,9,2,8,5,1,0.69,0.12,44.86,9.29,0.0022160664819944
129,8,6,16,2,8,5,1,0.63,0.56,52.34,10.33,0.0089356949098452
130,8,6,23,2,8,5,2,0.23,0.87,64.85,10.22,0.0115891834287997
131,8,6,9,2,6,5,1,0.61,0.12,44.86,9.29,0.0022160664819944
132,8,6,16,2,6,5,1,0.53,0.56,52.34,10.33,0.0089356949098452
133,8,6,23,2,6,5,2,0.14,0.87,64.85,10.22,0.0115891834287997
134,8,6,9,2,1,5,1,13.12,0.12,44.86,9.29,0.0022160664819944
135,8,6,16,2,1,5,1,12.177,0.56,52.34,10.33,0.0089356949098452
136,8,6,23,2,1,5,2,0.854,0.87,64.85,10.22,0.0115891834287997
137,8,6,9,2,16,5,1,0.08632,0.12,44.86,9.29,0.0022160664819944
138,8,6,16,2,16,5,1,0.17082,0.56,52.34,10.33,0.0089356949098452
139,8,6,23,2,16,5,2,0.10612,0.87,64.85,10.22,0.0115891834287997
140,8,6,9,2,5,5,1,0.92629,0.12,44.86,9.29,0.0022160664819944
141,8,6,16,2,5,5,1,1.83885,0.56,52.34,10.33,0.0089356949098452
142,8,6,23,2,5,5,2,1.89505,0.87,64.85,10.22,0.0115891834287997
143,8,6,9,2,9,5,1,2.69994,0.12,44.86,9.29,0.0022160664819944
144,8,6,16,2,9,5,1,3.3208,0.56,52.34,10.33,0.0089356949098452
145,8,6,23,2,9,5,2,1.26988,0.87,64.85,10.22,0.0115891834287997
146,8,6,9,2,2,5,1,2.60624,0.12,44.86,9.29,0.0022160664819944
147,8,6,16,2,2,5,1,3.18124,0.56,52.34,10.33,0.0089356949098452
148,8,6,23,2,2,5,2,3.50444,0.87,64.85,10.22,0.0115891834287997
149,9,6,9,2,17,10,1,0.15,0.15,40.87,5.87,0.0032092426187419
150,9,6,16,2,17,10,1,0.5,0.5,57.73,7.85,0.007624275693809
151,9,6,23,2,17,10,1,0.55,0.55,56.38,8.87,0.0084291187739463
152,9,6,9,2,4,10,1,0.4125,0.15,40.87,5.87,0.0032092426187419
153,9,6,16,2,4,10,1,0.3076,0.5,57.73,7.85,0.007624275693809
154,9,6,23,2,4,10,1,0.0798,0.55,56.38,8.87,0.0084291187739463
155,9,6,9,2,7,10,1,40.87,0.15,40.87,5.87,0.0032092426187419
156,9,6,16,2,7,10,1,57.73,0.5,57.73,7.85,0.007624275693809
157,9,6,23,2,7,10,1,56.38,0.55,56.38,8.87,0.0084291187739463
158,9,6,9,2,15,10,1,5.87,0.15,40.87,5.87,0.0032092426187419
159,9,6,16,2,15,10,1,7.85,0.5,57.73,7.85,0.007624275693809
160,9,6,23,2,15,10,1,8.87,0.55,56.38,8.87,0.0084291187739463
161,9,6,9,2,8,10,1,0.71,0.15,40.87,5.87,0.0032092426187419
162,9,6,16,2,8,10,1,1.04,0.5,57.73,7.85,0.007624275693809
163,9,6,23,2,8,10,1,0.63,0.55,56.38,8.87,0.0084291187739463
164,9,6,9,2,6,10,1,0.92,0.15,40.87,5.87,0.0032092426187419
165,9,6,16,2,6,10,1,0.57,0.5,57.73,7.85,0.007624275693809
166,9,6,23,2,6,10,1,0.1,0.55,56.38,8.87,0.0084291187739463
167,9,6,9,2,1,10,1,14.149,0.15,40.87,5.87,0.0032092426187419
168,9,6,16,2,1,10,1,8.318,0.5,57.73,7.85,0.007624275693809
169,9,6,23,2,1,10,1,0.429,0.55,56.38,8.87,0.0084291187739463
170,9,6,9,2,16,10,1,0.18003,0.15,40.87,5.87,0.0032092426187419
171,9,6,16,2,16,10,1,0.1243,0.5,57.73,7.85,0.007624275693809
172,9,6,23,2,16,10,1,0.10612,0.55,56.38,8.87,0.0084291187739463
173,9,6,9,2,5,10,1,0.83259,0.15,40.87,5.87,0.0032092426187419
174,9,6,16,2,5,10,1,2.30071,0.5,57.73,7.85,0.007624275693809
175,9,6,23,2,5,10,1,0.6896,0.55,56.38,8.87,0.0084291187739463
176,9,6,9,2,9,10,1,4.52043,0.15,40.87,5.87,0.0032092426187419
177,9,6,16,2,9,10,1,4.05845,0.5,57.73,7.85,0.007624275693809
178,9,6,23,2,9,10,1,0.55495,0.55,56.38,8.87,0.0084291187739463
179,9,6,9,2,2,10,1,5.03245,0.15,40.87,5.87,0.0032092426187419
180,9,6,16,2,2,10,1,7.67747,0.5,57.73,7.85,0.007624275693809
181,9,6,23,2,2,10,1,5.76759,0.55,56.38,8.87,0.0084291187739463
182,10,6,9,2,17,3,1,0.15,0.15,43.27,3.69,0.0031942078364565
183,10,6,16,2,17,3,1,0.11,0.11,59.17,4.76,0.0017206319411856
184,10,6,23,2,17,3,1,0.22,0.22,52.39,4.86,0.0038427947598253
185,10,6,9,2,4,3,1,0.2029,0.15,43.27,3.69,0.0031942078364565
186,10,6,16,2,4,3,1,0.1081,0.11,59.17,4.76,0.0017206319411856
187,10,6,23,2,4,3,1,0.0532,0.22,52.39,4.86,0.0038427947598253
188,10,6,9,2,7,3,1,43.27,0.15,43.27,3.69,0.0031942078364565
189,10,6,16,2,7,3,1,59.17,0.11,59.17,4.76,0.0017206319411856
190,10,6,23,2,7,3,1,52.39,0.22,52.39,4.86,0.0038427947598253
191,10,6,9,2,15,3,1,3.69,0.15,43.27,3.69,0.0031942078364565
192,10,6,16,2,15,3,1,4.76,0.11,59.17,4.76,0.0017206319411856
193,10,6,23,2,15,3,1,4.86,0.22,52.39,4.86,0.0038427947598253
194,10,6,9,2,8,3,1,0.58,0.15,43.27,3.69,0.0031942078364565
195,10,6,16,2,8,3,1,0.41,0.11,59.17,4.76,0.0017206319411856
196,10,6,23,2,8,3,1,0.14,0.22,52.39,4.86,0.0038427947598253
197,10,6,9,2,6,3,1,0.42,0.15,43.27,3.69,0.0031942078364565
198,10,6,16,2,6,3,1,0.05,0.11,59.17,4.76,0.0017206319411856
199,10,6,23,2,6,3,1,0.07,0.22,52.39,4.86,0.0038427947598253
200,10,6,9,2,1,3,1,9.604,0.15,43.27,3.69,0.0031942078364565
201,10,6,16,2,1,3,1,0.772,0.11,59.17,4.76,0.0017206319411856
202,10,6,23,2,1,3,1,0.389,0.22,52.39,4.86,0.0038427947598253
203,10,6,9,2,16,3,1,0.08632,0.15,43.27,3.69,0.0031942078364565
204,10,6,16,2,16,3,1,0.17082,0.11,59.17,4.76,0.0017206319411856
205,10,6,23,2,16,3,1,0.01635,0.22,52.39,4.86,0.0038427947598253
206,10,6,9,2,5,3,1,0.83259,0.15,43.27,3.69,0.0031942078364565
207,10,6,16,2,5,3,1,0.58948,0.11,59.17,4.76,0.0017206319411856
208,10,6,23,2,5,3,1,0.77937,0.22,52.39,4.86,0.0038427947598253
209,10,6,9,2,9,3,1,4.98559,0.15,43.27,3.69,0.0031942078364565
210,10,6,16,2,9,3,1,0.40341,0.11,59.17,4.76,0.0017206319411856
211,10,6,23,2,9,3,1,8.48011,0.22,52.39,4.86,0.0038427947598253
212,10,6,9,2,2,3,1,2.93419,0.15,43.27,3.69,0.0031942078364565
213,10,6,16,2,2,3,1,1.4667,0.11,59.17,4.76,0.0017206319411856
214,10,6,23,2,2,3,1,4.30914,0.22,52.39,4.86,0.0038427947598253
215,11,7,9,2,17,40,4,1.73,1.73,4.49,0.36,0.356701030927835
216,11,7,20,2,17,40,5,2.59,2.59,3.39,0.27,0.7076502732240436
217,11,7,23,2,17,40,5,5.18,5.18,3.26,0.19,1.501449275362319
218,11,7,24,2,17,40,6,10.37,10.37,3.84,0.25,2.535452322738386
219,11,7,9,2,4,40,4,0.5769,1.73,4.49,0.36,0.356701030927835
220,11,7,20,2,4,40,5,0.4166,2.59,3.39,0.27,0.7076502732240436
221,11,7,23,2,4,40,5,0.1202,5.18,3.26,0.19,1.501449275362319
222,11,7,24,2,4,40,6,0.1122,10.37,3.84,0.25,2.535452322738386
223,11,7,9,2,7,40,4,4.49,1.73,4.49,0.36,0.356701030927835
224,11,7,20,2,7,40,5,3.39,2.59,3.39,0.27,0.7076502732240436
225,11,7,23,2,7,40,5,3.26,5.18,3.26,0.19,1.501449275362319
226,11,7,24,2,7,40,6,3.84,10.37,3.84,0.25,2.535452322738386
227,11,7,9,2,15,40,4,0.36,1.73,4.49,0.36,0.356701030927835
228,11,7,20,2,15,40,5,0.27,2.59,3.39,0.27,0.7076502732240436
229,11,7,23,2,15,40,5,0.19,5.18,3.26,0.19,1.501449275362319
230,11,7,24,2,15,40,6,0.25,10.37,3.84,0.25,2.535452322738386
231,11,7,9,2,8,40,4,0.88,1.73,4.49,0.36,0.356701030927835
232,11,7,20,2,8,40,5,0.85,2.59,3.39,0.27,0.7076502732240436
233,11,7,23,2,8,40,5,0.25,5.18,3.26,0.19,1.501449275362319
234,11,7,24,2,8,40,6,0.17,10.37,3.84,0.25,2.535452322738386
235,11,7,9,2,6,40,4,3.14,1.73,4.49,0.36,0.356701030927835
236,11,7,20,2,6,40,5,2.55,2.59,3.39,0.27,0.7076502732240436
237,11,7,23,2,6,40,5,2.51,5.18,3.26,0.19,1.501449275362319
238,11,7,24,2,6,40,6,2.48,10.37,3.84,0.25,2.535452322738386
239,11,7,9,2,1,40,4,22.496,1.73,4.49,0.36,0.356701030927835
240,11,7,20,2,1,40,5,3.713,2.59,3.39,0.27,0.7076502732240436
241,11,7,23,2,1,40,5,1.383,5.18,3.26,0.19,1.501449275362319
242,11,7,24,2,1,40,6,0.655,10.37,3.84,0.25,2.535452322738386
243,12,6,9,2,17,1,2,0.94,0.94,33.77,3.19,0.0254329004329004
244,12,6,14,2,17,1,3,2.53,2.53,38.47,3.7,0.0599952572919136
245,12,6,23,2,17,1,3,2.77,2.77,43.79,3.28,0.0588485234756745
246,12,6,9,2,4,1,2,0.7717,0.94,33.77,3.19,0.0254329004329004
247,12,6,14,2,4,1,3,0.6941,2.53,38.47,3.7,0.0599952572919136
248,12,6,23,2,4,1,3,0.1964,2.77,43.79,3.28,0.0588485234756745
249,12,6,9,2,7,1,2,33.77,0.94,33.77,3.19,0.0254329004329004
250,12,6,14,2,7,1,3,38.47,2.53,38.47,3.7,0.0599952572919136
251,12,6,23,2,7,1,3,43.79,2.77,43.79,3.28,0.0588485234756745
252,12,6,9,2,15,1,2,3.19,0.94,33.77,3.19,0.0254329004329004
253,12,6,14,2,15,1,3,3.7,2.53,38.47,3.7,0.0599952572919136
254,12,6,23,2,15,1,3,3.28,2.77,43.79,3.28,0.0588485234756745
255,12,6,9,2,8,1,2,0.72,0.94,33.77,3.19,0.0254329004329004
256,12,6,14,2,8,1,3,0.75,2.53,38.47,3.7,0.0599952572919136
257,12,6,23,2,8,1,3,0.29,2.77,43.79,3.28,0.0588485234756745
258,12,6,9,2,6,1,2,1.82,0.94,33.77,3.19,0.0254329004329004
259,12,6,14,2,6,1,3,1.91,2.53,38.47,3.7,0.0599952572919136
260,12,6,23,2,6,1,3,1.04,2.77,43.79,3.28,0.0588485234756745
261,12,6,9,2,1,1,2,23.943,0.94,33.77,3.19,0.0254329004329004
262,12,6,14,2,1,1,3,17.261,2.53,38.47,3.7,0.0599952572919136
263,12,6,23,2,1,1,3,1.943,2.77,43.79,3.28,0.0588485234756745
264,12,6,9,2,9,1,2,7.347647999999999,0.94,33.77,3.19,0.0254329004329004
265,12,6,14,2,9,1,3,5.633472,2.53,38.47,3.7,0.0599952572919136
266,12,6,23,2,9,1,3,3.919392,2.77,43.79,3.28,0.0588485234756745
267,12,6,9,2,2,1,2,5.405908125,0.94,33.77,3.19,0.0254329004329004
268,12,6,14,2,2,1,3,4.92694775,2.53,38.47,3.7,0.0599952572919136
269,12,6,23,2,2,1,3,3.969000175,2.77,43.79,3.28,0.0588485234756745
270,12,6,9,2,16,1,2,0.32907,0.94,33.77,3.19,0.0254329004329004
271,12,6,14,2,16,1,3,0.3826365,2.53,38.47,3.7,0.0599952572919136
272,12,6,23,2,16,1,3,0.195156,2.77,43.79,3.28,0.0588485234756745
273,12,6,9,2,5,1,2,1.6622135,0.94,33.77,3.19,0.0254329004329004
274,12,6,14,2,5,1,3,3.42816715,2.53,38.47,3.7,0.0599952572919136
275,12,6,23,2,5,1,3,3.26657035,2.77,43.79,3.28,0.0588485234756745
276,12,6,9,2,13,1,2,3.9007907250000007,0.94,33.77,3.19,0.0254329004329004
277,12,6,14,2,13,1,3,2.42503365,2.53,38.47,3.7,0.0599952572919136
278,12,6,23,2,13,1,3,2.42503365,2.77,43.79,3.28,0.0588485234756745
279,13,6,9,2,17,1,1,0.35,0.35,43.03,5.07,0.0072765072765072
280,13,6,14,2,17,1,1,0.41,0.41,37.18,6.27,0.0094361334867663
281,13,6,23,2,17,1,2,0.52,0.52,18.38,4.44,0.0227870289219982
282,13,6,9,2,4,1,1,0.0793,0.35,43.03,5.07,0.0072765072765072
283,13,6,14,2,4,1,1,0.0513,0.41,37.18,6.27,0.0094361334867663
284,13,6,23,2,4,1,2,0.0467,0.52,18.38,4.44,0.0227870289219982
285,13,6,9,2,7,1,1,43.03,0.35,43.03,5.07,0.0072765072765072
286,13,6,14,2,7,1,1,37.18,0.41,37.18,6.27,0.0094361334867663
287,13,6,23,2,7,1,2,18.38,0.52,18.38,4.44,0.0227870289219982
288,13,6,9,2,15,1,1,5.07,0.35,43.03,5.07,0.0072765072765072
289,13,6,14,2,15,1,1,6.27,0.41,37.18,6.27,0.0094361334867663
290,13,6,23,2,15,1,2,4.44,0.52,18.38,4.44,0.0227870289219982
291,13,6,9,2,8,1,1,0.16,0.35,43.03,5.07,0.0072765072765072
292,13,6,14,2,8,1,1,0.11,0.41,37.18,6.27,0.0094361334867663
293,13,6,23,2,8,1,2,0.12,0.52,18.38,4.44,0.0227870289219982
294,13,6,9,2,6,1,1,0.49,0.35,43.03,5.07,0.0072765072765072
295,13,6,14,2,6,1,1,0.31,0.41,37.18,6.27,0.0094361334867663
296,13,6,23,2,6,1,2,0.33,0.52,18.38,4.44,0.0227870289219982
297,13,6,9,2,1,1,1,3.886,0.35,43.03,5.07,0.0072765072765072
298,13,6,14,2,1,1,1,2.534,0.41,37.18,6.27,0.0094361334867663
299,13,6,23,2,1,1,2,1.521,0.52,18.38,4.44,0.0227870289219982
300,13,6,9,2,9,1,1,14.060928,0.35,43.03,5.07,0.0072765072765072
301,13,6,9,2,2,1,1,4.494394625000001,0.35,43.03,5.07,0.0072765072765072
302,13,6,14,2,2,1,1,3.9290041,0.41,37.18,6.27,0.0094361334867663
303,13,6,23,2,2,1,2,3.3636404,0.52,18.38,4.44,0.0227870289219982
304,13,6,9,2,16,1,1,0.2197019999999999,0.35,43.03,5.07,0.0072765072765072
305,13,6,14,2,16,1,1,0.7232775,0.41,37.18,6.27,0.0094361334867663
306,13,6,23,2,16,1,2,0.5652045,0.52,18.38,4.44,0.0227870289219982
307,13,6,9,2,5,1,1,1.70702005,0.35,43.03,5.07,0.0072765072765072
308,13,6,14,2,5,1,1,6.8297906500000005,0.41,37.18,6.27,0.0094361334867663
309,13,6,23,2,5,1,2,4.17303645,0.52,18.38,4.44,0.0227870289219982
310,13,6,9,2,13,1,1,10.345507125,0.35,43.03,5.07,0.0072765072765072
311,13,6,14,2,13,1,1,7.794762825,0.41,37.18,6.27,0.0094361334867663
312,13,6,23,2,13,1,2,6.923797125000001,0.52,18.38,4.44,0.0227870289219982
313,14,8,9,2,17,32,2,0.25,0.25,6.91,0.65,0.033068783068783
314,14,8,17,2,17,32,3,0.98,0.98,16.44,1.27,0.0553359683794466
315,14,8,23,2,17,32,2,0.96,0.96,29.13,5.44,0.027769742551345
316,14,8,9,2,7,32,2,6.91,0.25,6.91,0.65,0.033068783068783
317,14,8,17,2,7,32,3,16.44,0.98,16.44,1.27,0.0553359683794466
318,14,8,23,2,7,32,2,29.13,0.96,29.13,5.44,0.027769742551345
319,14,8,9,2,15,32,2,0.65,0.25,6.91,0.65,0.033068783068783
320,14,8,17,2,15,32,3,1.27,0.98,16.44,1.27,0.0553359683794466
321,14,8,23,2,15,32,2,5.44,0.96,29.13,5.44,0.027769742551345
322,14,8,9,2,1,32,2,45.224,0.25,6.91,0.65,0.033068783068783
323,14,8,17,2,1,32,3,33.764,0.98,16.44,1.27,0.0553359683794466
324,14,8,23,2,1,32,2,4.408,0.96,29.13,5.44,0.027769742551345
325,15,8,9,2,17,32,2,0.24,0.24,8.94,0.62,0.0251046025104602
326,15,8,17,2,17,32,3,1.06,1.06,17.59,1.58,0.0552947313510693
327,15,8,23,2,17,32,2,0.67,0.67,34.9,6.37,0.0162345529440271
328,15,8,9,2,7,32,2,8.94,0.24,8.94,0.62,0.0251046025104602
329,15,8,17,2,7,32,3,17.59,1.06,17.59,1.58,0.0552947313510693
330,15,8,23,2,7,32,2,34.9,0.67,34.9,6.37,0.0162345529440271
331,15,8,9,2,15,32,2,0.62,0.24,8.94,0.62,0.0251046025104602
332,15,8,17,2,15,32,3,1.58,1.06,17.59,1.58,0.0552947313510693
333,15,8,23,2,15,32,2,6.37,0.67,34.9,6.37,0.0162345529440271
334,15,8,9,2,1,32,2,42.844,0.24,8.94,0.62,0.0251046025104602
335,15,8,17,2,1,32,3,21.775,1.06,17.59,1.58,0.0552947313510693
336,15,8,23,2,1,32,2,0.264,0.67,34.9,6.37,0.0162345529440271
